code,num
C1072,675.6466936672548
C1128,1139.5487337478944
C1456,556.5364801312645
C1840,550.525845947432
C1332,1120.6433207905327
C1563,1735.2031699166416
C1794,893.4183113429165
C1640,462.9259013137914
C1377,318.1973052047259
C2072,300.5209218680491
C1472,494.2751484554749
C1006,290.25782151396874
C1083,331.0551190984968
C1311,229.11694137851833
C2676,287.90172516572295
C2318,139.99419112542586
C1603,433.2684265766245
C2523,290.7932034523848
C2177,173.07610346542714
C2411,646.8307047862019
C2033,161.13165839373312
C1604,421.74806800079
C2535,455.6826683313564
C1040,537.5213889911932
C2417,415.4760119367309
C1812,153.9057030104837
C2253,121.7678502654764
C1294,490.5001168762351
C1772,350.7471904461786
C2646,459.87068690390424
C1152,851.3356810043294
C2423,123.03598271827298
C1844,508.273409916367
C1318,228.39801214623145
C1729,97.12109498475957
C1602,289.2865041217854
C1239,427.1777073512257
C1721,603.4092140982602
C1902,788.239667050223
C1855,309.18510071801654
C2600,463.46179125675803
C1071,454.7069912043511
C2295,416.36330098739165
C1621,589.960986857443
C1852,792.1062752662
C2555,1090.6893174433185
C1297,506.3868150459733
C2323,618.5973999682425
C2215,364.0479493592794
C2112,399.39792427913454
C1830,814.6351631772359
C2602,291.7556302578101
C2608,929.6921023236109
C1215,613.0728467487409
C2369,558.829728153209
C1158,259.34180695441944
C1887,693.4051128379365
C1189,300.9441934297629
C1637,501.72212527355083
C1225,163.70944977654216
C2374,355.4619844776504
C2397,569.6600333237419
C1105,958.6109860266566
C1782,402.5313131842075
C1629,161.3867310623986
C1708,278.982246074864
C2144,598.4579940655993
C1617,849.7834814892718
C1149,574.7812162976007
C1323,516.8555938997441
C1064,772.6918543077957
C1019,281.75807364413475
C2269,655.5648465466803
C1416,857.7932785024562
C1250,915.8654334815656
C1741,452.07125865750953
C1016,646.0740374189427
C2675,846.873938862987
C2436,572.437344848176
C2039,900.2102987915181
C1253,812.135681575533
C2028,1045.3927218048443
C1166,302.0183826691655
C1135,268.02185983536765
C1216,288.20460488099985
C1593,208.47305347965482
C1826,237.5114927708259
C1827,365.931270685839
C1564,264.63011521548725
C1495,918.0149159423898
C2653,770.3677148270499
C1392,676.6333132719467
C2128,304.99377994672454
C1282,586.4386264768362
C1521,1041.5746206008998
C2076,1011.2841984804459
C1060,617.8989777164147
C2473,1055.4199019529553
C2557,692.9910963293934
C1835,801.47777945741
C2224,556.3095734862874
C2222,409.31445763158274
C2430,829.5093566775549
C2497,764.2185532400352
C1494,998.3300656515237
C1457,533.7297653571248
C1525,1106.1249364656846
C1712,627.4227691076828
C2267,847.9127040663996
C1623,286.9235319028628
C2131,642.0907865396957
C2691,1152.5718329154884
C1147,796.0132372601532
C1692,807.4680522125109
C1570,739.0528637798926
C1474,100.276349974374
C1633,150.76773815835753
C2113,550.8274496219948
C2175,879.1931227396148
C2303,1260.6291456998483
C2547,577.9866703599799
C2292,910.5769953438376
C1496,788.245247798482
C1289,390.0124694667753
C1849,735.2731235747178
C1003,241.19090590454135
C2268,322.06704308157606
C2551,585.6648792214115
C2688,78.12848141105428
C1030,33.0439733391658
C1327,134.06644197421855
C2451,537.4098611237554
C1749,583.4066842741862
C1349,289.7488254417491
C2043,254.51642199583628
C1229,278.7881497530363
C2363,567.4954384057335
C1414,564.3662454192153
C2174,447.9631146551435
C2091,156.5399412321524
C2335,543.6733742353729
C1841,97.82278584601767
C2404,127.08490662973657
C1683,199.62000330914242
C1038,282.1085283026905
C2456,254.4907100532452
C1266,445.166445017432
C2152,32.188593063309895
C1267,327.52434604774663
C2189,234.51993721054782
